Country_Name,Country_Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Income_Group
Belize,BLZ,816100000.0,889550000.0,941500000.0,975700000.0,995200000.0,1008350000.0,1080500000.0,1128600000.0,1178200000.0,1231300000.0,1297400000.0,1333850000.0,1400350000.0,1461850000.0,1516500000.0,1645700000.0,1641100000.0,1687000000.0,1670450000.0,Upper middle income
Bolivia,BOL,7410027986.0,7098072399.0,7074841067.0,7384244267.0,7858130422.0,8832722365.0,10139794923.0,12589310004.0,13908505413.0,14959204484.0,17848012195.0,19756346816.0,22696563329.0,25619724067.0,28352112489.0,29314157019.0,31760846975.0,34057574891.0,35410348596.0,Lower middle income
Brazil,BRA,467312000000.0,416544000000.0,451735000000.0,526558000000.0,707906000000.0,880304000000.0,1101180000000.0,1332440000000.0,1360390000000.0,1750280000000.0,2065280000000.0,1970750000000.0,1993280000000.0,2016730000000.0,1509200000000.0,1519710000000.0,1746890000000.0,1620020000000.0,1594690000000.0,Upper middle income
Barbados,BRB,2749300000.0,2754400000.0,2768200000.0,3079300000.0,3446250000.0,3595313132.0,3841030851.0,4062180200.0,3898165465.0,4078564862.0,4198679897.0,4213648312.0,4240148072.0,4295856839.0,4272840228.0,4423698105.0,4432618636.0,4419337077.0,4453427177.0,High income
Brunei Darussalam,BRN,3122305632.0,3083575561.0,3369624613.0,3827177375.0,3895461728.0,4344074517.0,5240130051.0,5012983347.0,5113776983.0,5053171984.0,5835917005.0,6133162612.0,6409846547.0,6329913181.0,5798930468.0,5400894592.0,5694482077.0,5926601898.0,6127478962.0,High income
Bhutan,BTN,289877181.6,350217292.7,412781771.1,478522372.0,607189780.0,522708861.8,873030995.1,803141185.4,876925266.4,1018167054.0,1078691840.0,986960673.5,1322755001.0,1302772757.0,1473613799.0,1450154792.0,1692979670.0,1834253942.0,1936533074.0,Lower middle income
Botswana,BWA,3180750531.0,3249960492.0,4550920402.0,5403020904.0,5704114058.0,5653776667.0,6261420766.0,7050892294.0,7367670599.0,8810355570.0,9949459083.0,10247483803.0,10516162831.0,11313766558.0,10570174746.0,10433264228.0,11399047104.0,12215421569.0,12578212888.0,Upper middle income
Central African Republic,CAF,887650379.5,941864768.4,1066402217.0,1252460462.0,1314583682.0,1425747541.0,1677084729.0,1987463717.0,1943990825.0,1926754977.0,2209052165.0,2488168298.0,1707411790.0,1852231856.0,1648416295.0,1796246947.0,2010650872.0,2252075793.0,2313118006.0,Low income
Canada,CAN,551306000000.0,576498000000.0,676776000000.0,761145000000.0,860850000000.0,971873000000.0,1086610000000.0,1152020000000.0,1093340000000.0,1269190000000.0,1381730000000.0,1409270000000.0,1415700000000.0,1373510000000.0,1224770000000.0,1215250000000.0,1297640000000.0,1354510000000.0,1368890000000.0,High income
Switzerland,CHE,194615000000.0,211626000000.0,249421000000.0,276062000000.0,281681000000.0,287422000000.0,311173000000.0,357805000000.0,362327000000.0,385972000000.0,459036000000.0,440321000000.0,454672000000.0,464730000000.0,446846000000.0,442586000000.0,450779000000.0,462303000000.0,460020000000.0,High income
Chile,CHL,53179335864.0,51920526913.0,55217305015.0,68636773822.0,83716871825.0,98140670745.0,111079000000.0,124784000000.0,119191000000.0,150094000000.0,177002000000.0,191495000000.0,203692000000.0,193176000000.0,182764000000.0,190720000000.0,212046000000.0,227212000000.0,213967000000.0,High income
China,CHN,829531000000.0,896792000000.0,963332000000.0,1080060000000.0,1243210000000.0,1446860000000.0,1810540000000.0,2286750000000.0,2554950000000.0,2977440000000.0,3787780000000.0,4363610000000.0,4949540000000.0,5502350000000.0,5972230000000.0,6182650000000.0,6754430000000.0,7650170000000.0,7999420000000.0,Upper middle income
Cote d'Ivoire,CIV,14113140752.0,14652242956.0,17385974291.0,19541386514.0,20484461184.0,21192825620.0,24941546565.0,27853260144.0,27483518835.0,27527270930.0,28459435043.0,29000202603.0,32977581460.0,36508216785.0,34140978604.0,36732271852.0,40537257212.0,46161867975.0,46123045992.0,Lower middle income
Cameroon,CMR,9012064627.0,10314764207.0,13299221952.0,15413922472.0,15966050913.0,16931323925.0,19353159533.0,23046149302.0,23589839116.0,23181219392.0,25831113653.0,25415239317.0,28245958630.0,30522710755.0,27479191351.0,28039058355.0,29980454888.0,33408961979.0,33618648566.0,Lower middle income
"Congo, Dem. Rep.",COD,7018855767.0,7902223722.0,8625280893.0,9434602460.0,11323946708.0,12994676881.0,14777151210.0,18771305003.0,17670428064.0,17197357667.0,21001205758.0,27084079383.0,27036541222.0,29374480784.0,31970750957.0,31910171624.0,29926943355.0,39039275428.0,41603723926.0,Low income
"Congo, Rep.",COG,1338213307.0,1459199228.0,1489305603.0,2351956834.0,2899715032.0,3421773196.0,4440723497.0,5152876203.0,5085036025.0,5235481083.0,6344559616.0,6628392883.0,7196005330.0,7943241513.0,6876875310.0,6823359971.0,6636923207.0,7216445865.0,7051434031.0,Lower middle income
Colombia,COL,85537119572.0,84346105146.0,80145882799.0,97038251619.0,119152000000.0,131307000000.0,166550000000.0,191879000000.0,186661000000.0,228374000000.0,260994000000.0,293429000000.0,304284000000.0,305708000000.0,244431000000.0,236444000000.0,260089000000.0,279189000000.0,272840000000.0,Upper middle income
Comoros,COM,378672207.8,426145367.7,547117410.0,633974162.0,654123291.4,698730434.9,782290592.1,920484304.9,916950862.7,927022328.7,1064691960.0,1084586672.0,1169695217.0,1203387359.0,1003651709.0,1045513801.0,1108990141.0,1216258971.0,1242657233.0,Lower middle income
Costa Rica,CRI,12736226087.0,13607656381.0,14338882694.0,15244161502.0,16699761850.0,18649650072.0,22046947072.0,25928247009.0,25224333732.0,30887350504.0,35769229441.0,39623439991.0,42437333014.0,43299633444.0,46230739278.0,47530349175.0,49309509081.0,50621792562.0,52207817155.0,Upper middle income
Cuba,CUB,28966000000.0,31064075900.0,33093512500.0,34561199600.0,36908451700.0,42991699352.0,47269351852.0,50073611111.0,50041666667.0,50675000000.0,60906000000.0,63098000000.0,66910000000.0,70570000000.0,76616000000.0,80172000000.0,84089000000.0,86047000000.0,89877000000.0,Upper middle income
Cyprus,CYP,8062167577.0,8949991346.0,11463959230.0,13519285000.0,14393656262.0,15723089951.0,19265120449.0,23335680387.0,21397667408.0,21696579610.0,23403183463.0,21409139149.0,20433902245.0,19798314069.0,16609050261.0,16944034758.0,18244497289.0,20253815541.0,20470883242.0,High income
Czech Republic,CZE,46908667384.0,58120261709.0,71888794356.0,83089129098.0,93422533330.0,104533000000.0,123968000000.0,157502000000.0,143764000000.0,145477000000.0,158463000000.0,143854000000.0,146682000000.0,141644000000.0,124243000000.0,130223000000.0,144528000000.0,166443000000.0,167653000000.0,High income
Germany,DEU,1467380000000.0,1558310000000.0,1895970000000.0,2109650000000.0,2144100000000.0,2216480000000.0,2461240000000.0,2714580000000.0,2607310000000.0,2538600000000.0,2754120000000.0,2616570000000.0,2770030000000.0,2839480000000.0,2439680000000.0,2521050000000.0,2655520000000.0,2860770000000.0,2807760000000.0,High income
Denmark,DNK,117059000000.0,128269000000.0,157647000000.0,182647000000.0,191181000000.0,202569000000.0,229426000000.0,256160000000.0,245475000000.0,241426000000.0,256209000000.0,243770000000.0,253228000000.0,257497000000.0,219682000000.0,224008000000.0,235047000000.0,254271000000.0,245530000000.0,High income
Dominican Republic,DOM,20470834582.0,21796441767.0,17279707184.0,17507258474.0,28700126805.0,30451543544.0,35203901326.0,40208725747.0,41010750780.0,45387143577.0,49667350224.0,51534750355.0,52417189872.0,55141745335.0,57789942862.0,61165645216.0,64309500964.0,67723440933.0,70147197129.0,Upper middle income
Algeria,DZA,32018264586.0,33756367506.0,37519503844.0,44655759180.0,46657776116.0,50249392263.0,58488701503.0,74196165233.0,73688594499.0,83097951227.0,103696000000.0,109684000000.0,112834000000.0,119506000000.0,103855000000.0,101466000000.0,104632000000.0,103576000000.0,103459000000.0,Lower middle income
Ecuador,ECU,20051882000.0,23606958000.0,26742603000.0,29770074000.0,32884561000.0,35842793000.0,38775487000.0,45298051000.0,47494560000.0,53193172000.0,58748321000.0,64735024000.0,70265165000.0,74555251000.0,75319038000.0,74486286000.0,77675205000.0,80031510000.0,80080014000.0,Upper middle income
"Egypt, Arab Rep.",EGY,83719676550.0,73528089888.0,68807692308.0,66509740260.0,75524126456.0,89043478261.0,109212000000.0,135473000000.0,165408000000.0,187750000000.0,205353000000.0,256483000000.0,265721000000.0,289670000000.0,310229000000.0,314209000000.0,231529000000.0,234226000000.0,272853000000.0,Lower middle income
Spain,ESP,475989000000.0,533743000000.0,677918000000.0,806227000000.0,870093000000.0,946927000000.0,1110450000000.0,1244800000000.0,1156910000000.0,1119510000000.0,1172000000000.0,1053160000000.0,1068600000000.0,1083240000000.0,932130000000.0,952538000000.0,1010430000000.0,1091390000000.0,1061220000000.0,High income
Estonia,EST,4591668606.0,5423313554.0,7219660117.0,8841968944.0,10046340007.0,11911317275.0,15333926909.0,17464694595.0,14504137260.0,14055135356.0,15928880303.0,15880486482.0,17603151412.0,18473370676.0,16246019201.0,17137518968.0,18707252548.0,21146414729.0,21537716745.0,High income
Finland,FIN,87406276854.0,96711389496.0,121445000000.0,139349000000.0,145569000000.0,154435000000.0,177778000000.0,202535000000.0,193198000000.0,190352000000.0,210902000000.0,201826000000.0,213616000000.0,217221000000.0,184944000000.0,187808000000.0,194157000000.0,209536000000.0,203426000000.0,High income
Fiji,FJI,1210225775.0,1283231972.0,1568519886.0,1764512406.0,2768866884.0,2919347967.0,3034012793.0,3287996737.0,2652227233.0,2741880154.0,3205195182.0,3407651880.0,3560302704.0,3783827435.0,3626352546.0,3971705161.0,4247519183.0,4476232059.0,4475513794.0,Upper middle income
France,FRA,1050640000000.0,1151500000000.0,1427450000000.0,1634190000000.0,1701800000000.0,1786710000000.0,2036670000000.0,2257170000000.0,2146080000000.0,2098820000000.0,2255650000000.0,2111230000000.0,2214280000000.0,2240090000000.0,1899010000000.0,1928810000000.0,2014570000000.0,2153320000000.0,2090120000000.0,High income
Faroe Islands,FRO,885855721.6,990639289.7,1256341363.0,1475088047.0,1674915373.0,1725701217.0,1950915737.0,2129538456.0,2122703277.0,1966696894.0,2127516904.0,2080984031.0,2189003436.0,2251456570.0,1925771786.0,2060014558.0,2122234170.0,2270420929.0,2258449036.0,High income
Gabon,GAB,2615371403.0,2869364458.0,3484918194.0,3897113426.0,4079172565.0,4488434334.0,5380310663.0,6152170404.0,6199791449.0,6342562172.0,7350999678.0,7465027388.0,8224186301.0,8981745995.0,7573397774.0,7724418617.0,7942704349.0,8295386304.0,8212291798.0,Upper middle income
United Kingdom,GBR,1381760000000.0,1507930000000.0,1737930000000.0,2059140000000.0,2153540000000.0,2282910000000.0,2597950000000.0,2487040000000.0,2099490000000.0,2137480000000.0,2278240000000.0,2319730000000.0,2378840000000.0,2599420000000.0,2479250000000.0,2282490000000.0,2241110000000.0,2416490000000.0,2390830000000.0,High income
Georgia,GEO,2869121225.0,2974831625.0,3529617374.0,4541266694.0,5608925912.0,7532857785.0,9777072733.0,13420713711.0,11619994014.0,11810694047.0,14498250815.0,15339792890.0,15671215583.0,16128787450.0,13570660556.0,12881734060.0,13594461048.0,14520142040.0,14616370424.0,Upper middle income
Ghana,GHA,4941824515.0,5707354114.0,7097537610.0,8231800889.0,10344006186.0,18924808873.0,25056160841.0,29528557541.0,25157044270.0,32417242587.0,39184781862.0,39406282098.0,53466147471.0,43922188428.0,40030174231.0,44807421249.0,49654529571.0,52762226223.0,56215265899.0,Lower middle income
Guinea,GIN,2403956384.0,2594826721.0,2674850862.0,2925199159.0,2372877548.0,4100773335.0,6319574307.0,6594076366.0,6950461883.0,6342114152.0,6561014528.0,7208635429.0,8710944864.0,8829245359.0,9259030549.0,8632625702.0,9257161551.0,10555437359.0,11796920770.0,Low income
"Gambia, The",GMB,636343777.1,569220270.3,467978377.5,949081088.6,1040335393.0,992813291.7,1218289418.0,1606991583.0,1450098332.0,1596494360.0,1341615328.0,1233029170.0,1304326838.0,1183486313.0,1240191153.0,1297964551.0,1412964159.0,1592542146.0,1716573575.0,Low income
Guinea-Bissau,GNB,398618583.5,417434966.9,474674840.4,547105534.6,611006773.9,620569045.6,705550916.3,869498539.7,876373389.5,930897383.0,1048545127.0,1024128472.0,1049660885.0,1052400848.0,1012693717.0,1143314586.0,1300194801.0,1327204514.0,1360160043.0,Low income
Greece,GRC,115687000000.0,131957000000.0,169436000000.0,200422000000.0,213612000000.0,230738000000.0,272192000000.0,313539000000.0,302954000000.0,266268000000.0,259858000000.0,223824000000.0,216255000000.0,211118000000.0,174053000000.0,171144000000.0,178837000000.0,188754000000.0,182827000000.0,High income
Guatemala,GTM,17481597333.0,19297132708.0,20626869876.0,22594597735.0,26178270989.0,29061477547.0,32727010465.0,38465881640.0,36262840558.0,39918429658.0,45512294127.0,48519308977.0,51325179844.0,55841098264.0,59329031457.0,62754070975.0,68417675662.0,70934474545.0,73929597100.0,Upper middle income
"Hong Kong SAR, China",HKG,118275000000.0,114219000000.0,110586000000.0,116564000000.0,121150000000.0,128805000000.0,143735000000.0,150832000000.0,150433000000.0,160583000000.0,178946000000.0,193425000000.0,207791000000.0,221429000000.0,235346000000.0,244525000000.0,262514000000.0,282943000000.0,291371000000.0,High income
Honduras,HND,6670203143.0,6937081359.0,7306883734.0,7889273299.0,8864748331.0,10118411025.0,11667469344.0,13469752113.0,14185593090.0,15212769448.0,16594853334.0,17568515347.0,18252326347.0,18900239193.0,19262134772.0,19765285746.0,21008787803.0,22640429742.0,23950759940.0,Lower middle income
Croatia,HRV,19538160465.0,22996325443.0,28860404369.0,34349686746.0,37514769969.0,40446450030.0,48142209913.0,56351565240.0,50846791829.0,48781829141.0,51769087737.0,47459711381.0,48782329215.0,47603690575.0,39843852166.0,40863043063.0,43670509285.0,48337737769.0,48253916830.0,High income
Haiti,HTI,6678337012.0,6384249004.0,5172028172.0,6429681785.0,7587984886.0,7994831483.0,9982683915.0,11053216502.0,11905182209.0,12166775138.0,13399113676.0,14180363765.0,15169624615.0,15729314399.0,15491919417.0,14697006337.0,15547500090.0,17594076468.0,15586007506.0,Lower middle income
Hungary,HUN,40342168506.0,51682112189.0,67671884077.0,80127474897.0,86984249621.0,87075977946.0,105233000000.0,118633000000.0,98992748405.0,97952759755.0,104362000000.0,95016730773.0,97611564854.0,98898801241.0,86099948986.0,90112178979.0,100612000000.0,110714000000.0,113180000000.0,High income
Indonesia,IDN,112376000000.0,146510000000.0,179055000000.0,192860000000.0,207175000000.0,259925000000.0,310717000000.0,352288000000.0,368490000000.0,492496000000.0,575805000000.0,602472000000.0,605434000000.0,592963000000.0,578489000000.0,627662000000.0,674332000000.0,687911000000.0,746875000000.0,Lower middle income
India,IND,368490000000.0,382824000000.0,439853000000.0,487584000000.0,555766000000.0,619748000000.0,798454000000.0,805841000000.0,904694000000.0,1101420000000.0,1226760000000.0,1227160000000.0,1261470000000.0,1398200000000.0,1460640000000.0,1597270000000.0,1842570000000.0,1895070000000.0,2036470000000.0,Lower middle income
Ireland,IRL,66671484219.0,77630213815.0,99659637550.0,116489000000.0,126473000000.0,139416000000.0,167549000000.0,184643000000.0,159165000000.0,146448000000.0,155660000000.0,142909000000.0,147859000000.0,153202000000.0,132377000000.0,138958000000.0,147411000000.0,163151000000.0,164507000000.0,High income
"Iran, Islamic Rep.",IRN,80050782763.0,75004507712.0,85772891200.0,102461000000.0,120653000000.0,143542000000.0,178098000000.0,213232000000.0,231841000000.0,261545000000.0,347340000000.0,393721000000.0,294781000000.0,277008000000.0,281628000000.0,306001000000.0,316205000000.0,212267000000.0,187183000000.0,Lower middle income
Iraq,IRQ,12795337250.0,14349259925.0,12779964731.0,22806861106.0,28720536685.0,34421497594.0,50879972852.0,63055918301.0,81855679701.0,87766724530.0,101722000000.0,123018000000.0,131606000000.0,137207000000.0,123988000000.0,125322000000.0,126859000000.0,135096000000.0,145515000000.0,Upper middle income
Iceland,ISL,6419265884.0,7323440346.0,9333532154.0,11166297084.0,13964880751.0,14086271459.0,17195520084.0,13748618762.0,10080496771.0,10484545741.0,11680231174.0,11538262366.0,12387977550.0,13651561869.0,12807031664.0,15029522435.0,18242804761.0,19544826483.0,18463994814.0,High income
Israel,ISR,104378000000.0,99385669931.0,103045000000.0,108531000000.0,113312000000.0,122060000000.0,142279000000.0,173891000000.0,164281000000.0,185861000000.0,207578000000.0,203340000000.0,229561000000.0,242217000000.0,231183000000.0,246290000000.0,273482000000.0,288673000000.0,304400000000.0,High income
Italy,ITA,909813000000.0,991689000000.0,1236300000000.0,1411780000000.0,1466680000000.0,1537490000000.0,1728290000000.0,1902570000000.0,1784400000000.0,1736190000000.0,1857400000000.0,1692660000000.0,1728720000000.0,1732750000000.0,1467090000000.0,1485720000000.0,1551440000000.0,1654070000000.0,1577540000000.0,High income
Jamaica,JAM,8074714705.0,8648481181.0,8362373984.0,8929575209.0,10456674379.0,10982935299.0,12187240758.0,14441518386.0,11741061118.0,12961864120.0,14682740836.0,15064653667.0,14385151482.0,13865578337.0,13468459380.0,12886206483.0,13576468474.0,14085146832.0,14211178130.0,Upper middle income
Jordan,JOR,9331170663.0,9496332863.0,10208180536.0,11737658674.0,13514104372.0,15909026798.0,18352186178.0,21017532760.0,21951960563.0,23115494366.0,27708656197.0,30486674366.0,35233313380.0,36796939296.0,37596877042.0,38506635634.0,41270104507.0,43243445634.0,43226964789.0,Upper middle income
Japan,JPN,3134530000000.0,3046680000000.0,3287240000000.0,3545240000000.0,3505030000000.0,3341920000000.0,3318930000000.0,3768160000000.0,4070150000000.0,4380990000000.0,4806100000000.0,4869640000000.0,4065240000000.0,3798000000000.0,3350970000000.0,3720670000000.0,3650080000000.0,3747400000000.0,3815460000000.0,High income
Kazakhstan,KAZ,15800686676.0,16311522372.0,20270827901.0,28112227736.0,34905705148.0,45283234752.0,58878803827.0,72859528575.0,68246290934.0,83191990092.0,101451000000.0,117433000000.0,142146000000.0,131016000000.0,120499000000.0,90844162088.0,105294000000.0,108356000000.0,111564000000.0,Upper middle income
Kenya,KEN,12407249714.0,12581400930.0,14196627401.0,15030590928.0,17384946681.0,23392445021.0,28597558439.0,32665142038.0,36430861516.0,38948319644.0,41571520581.0,49331831690.0,54480283409.0,59962102859.0,61876663424.0,66598244017.0,74035703200.0,82477017145.0,89933658202.0,Lower middle income
Kyrgyz Republic,KGZ,1255143515.0,1383280747.0,1818082809.0,2083608748.0,2510799331.0,3205813279.0,3977082401.0,5656996932.0,4535857878.0,4924889534.0,6298784888.0,7655784021.0,8481319457.0,8474209799.0,7232597138.0,6829005880.0,7642056320.0,8242612249.0,8228424701.0,Lower middle income
Cambodia,KHM,3587808952.0,3827318197.0,4138038503.0,4783495465.0,5560808533.0,6141390857.0,7246506360.0,8807262907.0,8563075481.0,9852339797.0,11402784952.0,12068038515.0,12829590605.0,13870626122.0,14837626914.0,16279567637.0,17412423426.0,18578018119.0,20120650044.0,Lower middle income
"Korea, Rep.",KOR,367782000000.0,425508000000.0,465331000000.0,507484000000.0,609364000000.0,699350000000.0,772973000000.0,697345000000.0,626127000000.0,739525000000.0,821756000000.0,843169000000.0,897633000000.0,967198000000.0,932585000000.0,948008000000.0,1022480000000.0,1105200000000.0,1085160000000.0,High income
Kuwait,KWT,24396478644.0,28551826259.0,31473825503.0,34045469969.0,38672945205.0,43121640248.0,50952498241.0,61219866071.0,55077484364.0,53118632240.0,60275724638.0,67387281172.0,72332510578.0,76007378777.0,75317713526.0,77616352201.0,81738942961.0,86801773510.0,90676760211.0,High income
Lebanon,LBN,17920398010.0,19170812604.0,20375456053.0,20693332914.0,20755585498.0,21877798425.0,24679032508.0,29566777584.0,34367833516.0,38487405822.0,40952183930.0,46719333415.0,49349929585.0,51624263759.0,51595443854.0,51724626168.0,54519682177.0,57240961599.0,56386179820.0,Lower middle income
Libya,LBY,21350190051.0,14185826772.0,12192455391.0,16027612154.0,16928206053.0,19837317296.0,25008236971.0,28913452109.0,33524132429.0,34473160720.0,37701274302.0,45593247206.0,48881104034.0,49239704495.0,46315088329.0,48989571346.0,53355144210.0,53234432234.0,54277193735.0,Upper middle income
Sri Lanka,LKA,12858034915.0,13889082014.0,15862339412.0,17267131139.0,20037830846.0,23479094331.0,26664497140.0,35068316629.0,34518916906.0,43625939562.0,52121260703.0,49822694507.0,56011532222.0,60123496115.0,61542184076.0,65456039498.0,66120988027.0,68240781941.0,66973345813.0,Lower middle income
Lithuania,LTU,10570944325.0,12102853386.0,15743597293.0,19046328862.0,21650103247.0,25146963233.0,32073932677.0,39902577199.0,33314004726.0,31142421306.0,35142684888.0,34183019045.0,36764611874.0,38127168762.0,33035421231.0,34468343068.0,37491519980.0,41832913810.0,42212414918.0,High income
Luxembourg,LUX,12009531265.0,13607616266.0,17198792659.0,19795099491.0,20689044569.0,22053690560.0,25184083981.0,28624397408.0,28050455339.0,28201977279.0,31136514817.0,30253396798.0,32354825425.0,33556164234.0,29136275613.0,30055875265.0,32467906866.0,35783065724.0,35599756233.0,High income
Latvia,LVA,6897510634.0,7860575261.0,9735178945.0,11866429036.0,13468487866.0,17426889892.0,24055126522.0,27738476831.0,20998746177.0,19574589514.0,22029292092.0,21925283683.0,24171973786.0,24812114221.0,21255634110.0,22045520729.0,23966150009.0,26659464667.0,26572035036.0,High income
"Macao SAR, China",MAC,4001867181.0,4125650410.0,4241260659.0,4607713595.0,5114653418.0,5678256305.0,6704413942.0,7740801237.0,8209736608.0,8994276574.0,10478037465.0,11886256399.0,13420950521.0,15129270949.0,16283782091.0,16700604120.0,17306877648.0,18438773614.0,19453441546.0,High income
